source,id,name,address,latitude,longitude,type,contact,task,run_time
baidu,203a665b9b8411b009a8d435,石化服务区加油站(石龙坝站),云南省丽江市华坪县308省道西50米,26.584333179756634,101.36496053819896,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,bee6aed2e74caaca744ff19e,永兴石化服务区加油站,云南省丽江市华坪县华永线,26.832964894255074,101.2172851710509,gas_station,18108883596,云南丽江,2026-04-13T20:01:42
baidu,a50970fb43a7fced4354d736,拉伯石化加油站,云南省丽江市宁蒗彝族自治县基拉线,27.74046346742358,100.45452239839419,gas_station,18760981853,云南丽江,2026-04-13T20:01:42
baidu,d5482cdfdb36844895f08c80,福瑞加油站,云南省丽江市华坪县华永线,26.651477669330934,101.25591831292778,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,23a8fdeef3752b9d9fec2b6d,中国石油加油站(迎宾路站),云南省丽江市华坪县河西三组,26.609038229081843,101.27700311335391,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,c52f48cef05aded2eb1e9735,加油站(跑马坪服务区站),丽江市宁蒗彝族自治县泸宁高速跑马坪服务区,26.988491918851555,100.97974024329751,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,68f11f624308d1c797031907,云贵石化加油站,云南省丽江市宁蒗彝族自治县丽宁公路,27.053301425232434,100.55001579884363,gas_station,18888036858,云南丽江,2026-04-13T20:01:42
baidu,f5e3bcaed6b9eec05f17c3a3,昆明石化加油站,丽江市永胜县期纳镇220省道土官村路段(永胜县期纳中学附近),26.325782141274576,100.62793958158593,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,a6d09d330e88dd4412882404,中龙石化加油站,云南省丽江市华坪县华永线,26.737837746939306,101.20535095164934,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,354b72422c8370130b69d988,中国石化加油站(永胜服务区下行线站),云南省丽江市永胜县永北镇永胜服务区,26.675597625938696,100.73692635038483,gas_station,13988808765,云南丽江,2026-04-13T20:01:42
baidu,0bb9b566ec5fd9245d17c37e,大兴石化加油站,丽江市宁蒗彝族自治县G348,27.245158591340097,100.86648116844955,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,958409603cf6afd7e4073856,央化能源(中图站),祥和街道祥和路12号,26.867430755364527,100.24786400954376,gas_station,19388318453,云南丽江,2026-04-13T20:01:42
